codigo,ano,situacao,qtd_feminino,qtd_masculino
FISICA E SOCIEDADE,2021,REPROVADO,0.2857142857,0.3333333333
FISICA E SOCIEDADE,2021,TRANCADO,0.1428571429,0.125
FISICA E SOCIEDADE,2022,APROVADO,0.619047619,0.4166666667
FISICA E SOCIEDADE,2022,TRANCADO,0.1904761905,0.04166666667
FISICA MATEMATICA 1,2017,REPROVADO,0,0.08333333333
FISICA MATEMATICA 1,2018,APROVADO,0.4285714286,0.2916666667
FISICA MATEMATICA 1,2018,REPROVADO,0.1428571429,0.1666666667
FISICA MATEMATICA 1,2018,TRANCADO,0,0.125
FISICA MATEMATICA 1,2019,APROVADO,0.380952381,0.5833333333
FISICA MATEMATICA 1,2019,REP. MEDIA/FALTAS,0.04761904762,0.1666666667
FISICA MATEMATICA 1,2019,REPROVADO,0.2857142857,0.1666666667
FISICA MATEMATICA 1,2019,TRANCADO,0,0.125
FISICA MATEMATICA 1,2020,APROVADO,0.2857142857,0.375
FISICA MATEMATICA 1,2020,REPROVADO,0.04761904762,0.25
FISICA MATEMATICA 1,2020,TRANCADO,0.1428571429,0.08333333333
FISICA MATEMATICA 1,2021,APROVADO,0.6666666667,0.4166666667
FISICA MATEMATICA 1,2021,REPROVADO,0.04761904762,0.3333333333
FISICA MATEMATICA 1,2022,APROVADO,0.4285714286,0.2916666667
FISICA MATEMATICA 1,2022,REPROVADO,0.1428571429,0.125
FISICA MATEMATICA 2,2018,REPROVADO,0,0.1666666667
FISICA MATEMATICA 2,2019,APROVADO,0.4761904762,0.2916666667
FISICA MATEMATICA 2,2019,REPROVADO,0.09523809524,0.125
FISICA MATEMATICA 2,2020,APROVADO,0.09523809524,0.2083333333
FISICA MATEMATICA 2,2020,REPROVADO,0,0.08333333333
FISICA MATEMATICA 2,2021,APROVADO,0.2857142857,0.1666666667
FISICA MATEMATICA 2,2021,REPROVADO,0.09523809524,0.08333333333
FISICA MATEMATICA 2,2021,TRANCADO,0,0.08333333333
FISICA MATEMATICA 2,2022,APROVADO,0.09523809524,0.1666666667
FISICA MATEMATICA 2,2022,REP. MEDIA/FALTAS,0,0.08333333333
FISICA MATEMATICA 2,2022,REPROVADO,0.09523809524,0.04166666667
FISICA MATEMATICA 2,2022,TRANCADO,0.04761904762,0.08333333333
LABORATORIO DE FISICA 1,2018,REPROVADO,0,0.125
LABORATORIO DE FISICA 1,2019,APROVADO,0.2380952381,0.1666666667
LABORATORIO DE FISICA 1,2019,REP. MEDIA/FALTAS,0.04761904762,0.125
LABORATORIO DE FISICA 1,2019,REPROVADO,0.1904761905,0.04166666667
LABORATORIO DE FISICA 1,2020,APROVADO,0.1428571429,0.08333333333
LABORATORIO DE FISICA 1,2020,REPROVADO,0.1428571429,0.5833333333
LABORATORIO DE FISICA 1,2020,TRANCADO,0.1428571429,0.1666666667
LABORATORIO DE FISICA 1,2021,APROVADO,0.09523809524,0.08333333333
LABORATORIO DE FISICA 1,2021,REPROVADO,0.3333333333,0.5
LABORATORIO DE FISICA 1,2021,TRANCADO,0.1428571429,0.125
LABORATORIO DE FISICA 1,2022,APROVADO,0.3333333333,0.1666666667
LABORATORIO DE FISICA 1,2022,REPROVADO,0.1428571429,0.5
LABORATORIO DE FISICA 1,2022,TRANCADO,0.09523809524,0.125
PERSPECTIVAS EM ASTROFISICA,2018,APROVADO,0.5714285714,0.4166666667
PERSPECTIVAS EM ASTROFISICA,2018,DESISTENCIA,0.04761904762,0.08333333333
PERSPECTIVAS EM ASTROFISICA,2018,REPROVADO,0.3333333333,0.5416666667
PERSPECTIVAS EM ASTROFISICA,2018,TRANCADO,0.09523809524,0.2083333333
PERSPECTIVAS EM ASTROFISICA,2019,APROVADO,0.7142857143,0.5833333333
PERSPECTIVAS EM ASTROFISICA,2019,REP. MEDIA/FALTAS,0.2857142857,0.375
PERSPECTIVAS EM ASTROFISICA,2019,TRANCADO,0.04761904762,0.2083333333
PERSPECTIVAS EM ASTROFISICA,2020,APROVADO,0.619047619,0.5
PERSPECTIVAS EM ASTROFISICA,2020,REPROVADO,0.1428571429,0.4583333333
PERSPECTIVAS EM ASTROFISICA,2020,TRANCADO,0.09523809524,0.04166666667
PERSPECTIVAS EM ASTROFISICA,2021,APROVADO,0.6666666667,0.2916666667
PERSPECTIVAS EM ASTROFISICA,2021,REPROVADO,0.2857142857,0.5
PERSPECTIVAS EM ASTROFISICA,2021,TRANCADO,0.2380952381,0.125
PERSPECTIVAS EM ASTROFISICA,2022,APROVADO,0.5238095238,0.375
PERSPECTIVAS EM ASTROFISICA,2022,REPROVADO,0.09523809524,0.08333333333
PERSPECTIVAS EM ASTROFISICA,2022,TRANCADO,0.2380952381,0
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,APROVADO,0.3333333333,0.4583333333
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,DESISTENCIA,0,0.08333333333
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,REP. MEDIA/FALTAS,0.1904761905,0.5
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,REPROVADO,0.2857142857,0.5416666667
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,TRANCADO,0.09523809524,0.4583333333
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2019,APROVADO,0.1428571429,0.3333333333
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2019,REP. MEDIA/FALTAS,0.4761904762,0.5416666667
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2019,REPROVADO,0.1904761905,0.1666666667
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2020,APROVADO,0.2380952381,0.375
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2020,REPROVADO,0.2857142857,0.3333333333
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2020,TRANCADO,0.09523809524,0
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,APROVADO,0.4761904762,0.125
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,DESISTENCIA,0.09523809524,0
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,REPROVADO,0.3333333333,0.4166666667
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,TRANCADO,0.1428571429,0.08333333333
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2022,APROVADO,0.7619047619,0.375
INTRODUCAO A ASTRONOMIA E ASTROFISICA,2022,REP. MEDIA/FALTAS,0.09523809524,0.3333333333
CALCULO NUMERICO,2017,APROVADO,0.04761904762,0.08333333333
CALCULO NUMERICO,2017,REP. MEDIA/FALTAS,0.1428571429,0.2083333333
CALCULO NUMERICO,2017,REPROVADO,0.04761904762,0.08333333333
CALCULO NUMERICO,2017,TRANCADO,0,0.08333333333
CALCULO NUMERICO,2018,APROVADO,0.2380952381,0.08333333333
CALCULO NUMERICO,2018,REP. MEDIA/FALTAS,0,0.375
CALCULO NUMERICO,2018,REPROVADO,0.09523809524,0.04166666667
CALCULO NUMERICO,2018,TRANCADO,0,0.125
CALCULO NUMERICO,2019,APROVADO,0.2857142857,0.3333333333
CALCULO NUMERICO,2019,REP. MEDIA/FALTAS,0,0.1666666667
CALCULO NUMERICO,2019,REPROVADO,0,0.1666666667
CALCULO NUMERICO,2019,TRANCADO,0.04761904762,0.08333333333
CALCULO NUMERICO,2020,APROVADO,0.1904761905,0.2916666667
CALCULO NUMERICO,2020,REPROVADO,0,0.2083333333
CALCULO NUMERICO,2021,APROVADO,0.1904761905,0.2083333333
CALCULO NUMERICO,2021,REPROVADO,0,0.08333333333
CALCULO NUMERICO,2022,APROVADO,0.4285714286,0.3333333333
VETORES E GEOMETRIA ANALITICA,2017,APROVADO,0.04761904762,0.25
VETORES E GEOMETRIA ANALITICA,2017,DESISTENCIA,0,0.2083333333
VETORES E GEOMETRIA ANALITICA,2017,REPROVADO,0.4285714286,0.5416666667
VETORES E GEOMETRIA ANALITICA,2017,TRANCADO,0.1904761905,0.08333333333
VETORES E GEOMETRIA ANALITICA,2018,APROVADO,0.5714285714,0.4166666667
VETORES E GEOMETRIA ANALITICA,2018,REP. MEDIA/FALTAS,0.4285714286,0.7083333333
VETORES E GEOMETRIA ANALITICA,2018,REPROVADO,0.4285714286,0.625
VETORES E GEOMETRIA ANALITICA,2018,TRANCADO,0.1428571429,0.1666666667
VETORES E GEOMETRIA ANALITICA,2019,APROVADO,0.2857142857,0.3333333333
VETORES E GEOMETRIA ANALITICA,2019,REP. MEDIA/FALTAS,0.7142857143,0.7916666667
VETORES E GEOMETRIA ANALITICA,2019,REPROVADO,0.4761904762,0.4583333333
VETORES E GEOMETRIA ANALITICA,2019,TRANCADO,0.1428571429,0.08333333333
VETORES E GEOMETRIA ANALITICA,2020,APROVADO,0.380952381,0.5
VETORES E GEOMETRIA ANALITICA,2020,REPROVADO,0.619047619,0.7083333333
VETORES E GEOMETRIA ANALITICA,2020,TRANCADO,0.1904761905,0.125
VETORES E GEOMETRIA ANALITICA,2021,APROVADO,0.619047619,0.3333333333
VETORES E GEOMETRIA ANALITICA,2021,DESISTENCIA,0.09523809524,0
VETORES E GEOMETRIA ANALITICA,2021,REPROVADO,0.5238095238,0.625
VETORES E GEOMETRIA ANALITICA,2021,TRANCADO,0.380952381,0.1666666667
VETORES E GEOMETRIA ANALITICA,2022,APROVADO,0.5238095238,0.25
VETORES E GEOMETRIA ANALITICA,2022,REP. MEDIA/FALTAS,0,0.2916666667
VETORES E GEOMETRIA ANALITICA,2022,REPROVADO,0.3333333333,0.1666666667
VETORES E GEOMETRIA ANALITICA,2022,TRANCADO,0.3333333333,0.08333333333
CALCULO A,2018,APROVADO,0.2380952381,0.2083333333
CALCULO A,2018,DESISTENCIA,0.09523809524,0.04166666667
CALCULO A,2018,REP. MEDIA/FALTAS,0.4285714286,1
CALCULO A,2018,REPROVADO,0.5238095238,0.375
CALCULO A,2018,TRANCADO,0.1904761905,0.1666666667
CALCULO A,2019,APROVADO,0.2857142857,0.3333333333
CALCULO A,2019,REP. MEDIA/FALTAS,0.3333333333,0.5833333333
CALCULO A,2019,REPROVADO,1,0.8333333333
CALCULO A,2019,TRANCADO,0.1428571429,0.1666666667
CALCULO A,2020,APROVADO,0.4761904762,0.625
CALCULO A,2020,REPROVADO,0.5714285714,0.6666666667
CALCULO A,2020,TRANCADO,0.2380952381,0.04166666667
CALCULO A,2021,APROVADO,0.7619047619,0.4166666667
CALCULO A,2021,DESISTENCIA,0.09523809524,0
CALCULO A,2021,REPROVADO,0.4285714286,0.5
CALCULO A,2021,TRANCADO,0.2380952381,0.125
CALCULO A,2022,APROVADO,0.380952381,0.2083333333
CALCULO A,2022,REP. MEDIA/FALTAS,0.1428571429,0.1666666667
CALCULO A,2022,REPROVADO,0.1904761905,0.2916666667
CALCULO A,2022,TRANCADO,0.1904761905,0.1666666667
CALCULO B,2018,APROVADO,0.2857142857,0.1666666667
CALCULO B,2018,REP. MEDIA/FALTAS,0.04761904762,0.1666666667
CALCULO B,2018,REPROVADO,0.04761904762,0.125
CALCULO B,2019,APROVADO,0.1904761905,0.3333333333
CALCULO B,2019,REP. MEDIA/FALTAS,0,0.08333333333
CALCULO B,2020,APROVADO,0.3333333333,0.4583333333
CALCULO B,2020,REPROVADO,0.04761904762,0.1666666667
CALCULO B,2021,APROVADO,0.5714285714,0.2916666667
CALCULO B,2021,REPROVADO,0.1428571429,0.2083333333
CALCULO B,2021,TRANCADO,0.09523809524,0.08333333333
CALCULO B,2022,APROVADO,0.3333333333,0.1666666667
CALCULO B,2022,REP. MEDIA/FALTAS,0.1904761905,0.1666666667
CALCULO B,2022,REPROVADO,0.09523809524,0.1666666667
CALCULO B,2022,TRANCADO,0.1904761905,0
CALCULO C,2018,APROVADO,0.1428571429,0
CALCULO C,2018,REP. MEDIA/FALTAS,0.04761904762,0.2083333333
CALCULO C,2019,APROVADO,0.1904761905,0.25
CALCULO C,2019,REP. MEDIA/FALTAS,0.04761904762,0.125
CALCULO C,2019,REPROVADO,0,0.1666666667
CALCULO C,2019,TRANCADO,0.09523809524,0.04166666667
CALCULO C,2020,APROVADO,0.1904761905,0.3333333333
CALCULO C,2020,REPROVADO,0,0.125
CALCULO C,2020,TRANCADO,0,0.08333333333
CALCULO C,2021,APROVADO,0.2380952381,0.375
CALCULO C,2021,REPROVADO,0.04761904762,0.125
