codigo,ano,situacao,qtd_feminino,qtd_masculino
FISICA EXPERIMENTAL II,2018,REPROVADO,0.04545454545,0.04761904762
FISICA EXPERIMENTAL II,2019,APROVADO,0.09090909091,0.380952381
FISICA EXPERIMENTAL II,2019,REPROVADO,0,0.04761904762
FISICA EXPERIMENTAL II,2020,APROVADO,0.3636363636,0.1904761905
FISICA EXPERIMENTAL II,2020,REPROVADO,0,0
FISICA EXPERIMENTAL II,2021,APROVADO,0.09090909091,0.1428571429
FISICA EXPERIMENTAL II,2021,REPROVADO,0.04545454545,0
FISICA EXPERIMENTAL II,2022,APROVADO,0.4090909091,0.5714285714
FISICA EXPERIMENTAL II,2022,REPROVADO,0,0
FISICA EXPERIMENTAL II,2023,APROVADO,0.2272727273,0.2380952381
FISICA EXPERIMENTAL II,2023,REPROVADO,0.1363636364,0.09523809524
FISICA II,2017,APROVADO,0.04545454545,0.09523809524
FISICA II,2017,REPROVADO,0.09090909091,0.04761904762
FISICA II,2018,APROVADO,0.1363636364,0.1904761905
FISICA II,2018,REPROVADO,0,0.09523809524
FISICA II,2019,APROVADO,0.1363636364,0.2857142857
FISICA II,2019,REPROVADO,0.09090909091,0.1428571429
FISICA II,2020,APROVADO,0.5909090909,0.5238095238
FISICA II,2020,REPROVADO,0,0
FISICA II,2021,APROVADO,0.2272727273,0.2857142857
FISICA II,2021,REPROVADO,0,0
FISICA II,2022,APROVADO,0.1818181818,0.09523809524
FISICA II,2022,REPROVADO,0.2272727273,0.1904761905
FISICA II,2023,APROVADO,0.1818181818,0.1904761905
FISICA II,2023,REPROVADO,0,0.2380952381
CALCULO DIFERENCIAL E INTERGRAL II,2017,APROVADO,0.1363636364,0.09523809524
CALCULO DIFERENCIAL E INTERGRAL II,2017,REPROVADO,0.04545454545,0.04761904762
CALCULO DIFERENCIAL E INTERGRAL II,2018,APROVADO,0.1363636364,0.3333333333
CALCULO DIFERENCIAL E INTERGRAL II,2018,REPROVADO,0.2272727273,0.04761904762
CALCULO DIFERENCIAL E INTERGRAL II,2019,APROVADO,0.2272727273,0.1904761905
CALCULO DIFERENCIAL E INTERGRAL II,2019,REPROVADO,0.4545454545,0.4285714286
CALCULO DIFERENCIAL E INTERGRAL II,2020,APROVADO,0.8636363636,0.2857142857
CALCULO DIFERENCIAL E INTERGRAL II,2020,REPROVADO,0.09090909091,0.2380952381
CALCULO DIFERENCIAL E INTERGRAL II,2021,APROVADO,0.2272727273,0.4761904762
CALCULO DIFERENCIAL E INTERGRAL II,2021,REPROVADO,0.04545454545,0.1428571429
CALCULO DIFERENCIAL E INTERGRAL II,2022,APROVADO,0.1818181818,0.3333333333
CALCULO DIFERENCIAL E INTERGRAL II,2022,REPROVADO,0,0.09523809524
CALCULO DIFERENCIAL E INTERGRAL II,2023,APROVADO,0.1818181818,0.380952381
CALCULO DIFERENCIAL E INTERGRAL II,2023,REPROVADO,0.04545454545,0.04761904762
ALGEBRA LINEAR II,2017,APROVADO,0,0.1428571429
ALGEBRA LINEAR II,2017,REPROVADO,0.2727272727,0.04761904762
ALGEBRA LINEAR II,2018,APROVADO,0.2272727273,0.04761904762
ALGEBRA LINEAR II,2018,REPROVADO,0.4090909091,0.1904761905
ALGEBRA LINEAR II,2019,APROVADO,0.1363636364,0.1904761905
ALGEBRA LINEAR II,2019,REPROVADO,0.5454545455,0.6666666667
ALGEBRA LINEAR II,2020,APROVADO,0.7727272727,0.7142857143
ALGEBRA LINEAR II,2020,REPROVADO,0.04545454545,0.09523809524
ALGEBRA LINEAR II,2021,APROVADO,0.4090909091,0.4761904762
ALGEBRA LINEAR II,2021,REPROVADO,0,0.1428571429
ALGEBRA LINEAR II,2022,APROVADO,0.4090909091,0.4761904762
ALGEBRA LINEAR II,2022,REPROVADO,0.09090909091,0.1904761905
ALGEBRA LINEAR II,2023,APROVADO,0.04545454545,0.09523809524
ALGEBRA LINEAR II,2023,REPROVADO,0.1363636364,0.2380952381
ASTRONOMIA ESFERICA ,2017,APROVADO,0.3181818182,0.1904761905
ASTRONOMIA ESFERICA ,2017,REPROVADO,0,0.04761904762
ASTRONOMIA ESFERICA ,2018,APROVADO,0.2727272727,0.3333333333
ASTRONOMIA ESFERICA ,2018,REPROVADO,0.04545454545,0.04761904762
ASTRONOMIA ESFERICA ,2019,APROVADO,0.3181818182,0.2857142857
ASTRONOMIA ESFERICA ,2019,REPROVADO,0.04545454545,0.2380952381
ASTRONOMIA ESFERICA ,2020,APROVADO,0.2727272727,0.619047619
ASTRONOMIA ESFERICA ,2020,REPROVADO,0,0
ASTRONOMIA ESFERICA ,2021,APROVADO,0.4090909091,0.5714285714
ASTRONOMIA ESFERICA ,2021,REPROVADO,0,0.04761904762
ASTRONOMIA ESFERICA ,2022,APROVADO,0.4090909091,0.619047619
ASTRONOMIA ESFERICA ,2022,REPROVADO,0.04545454545,0.04761904762
ASTRONOMIA ESFERICA ,2023,APROVADO,0,0
ASTRONOMIA ESFERICA ,2023,REPROVADO,0,0
FISICA III,2017,APROVADO,0,0
FISICA III,2017,REPROVADO,0,0
FISICA III,2018,APROVADO,0.09090909091,0.1904761905
FISICA III,2018,REPROVADO,0.1818181818,0.04761904762
FISICA III,2019,APROVADO,0.04545454545,0.09523809524
FISICA III,2019,REPROVADO,0.2272727273,0.1904761905
FISICA III,2020,APROVADO,0.3636363636,0.4285714286
FISICA III,2020,REPROVADO,0.09090909091,0.04761904762
FISICA III,2021,APROVADO,0.4545454545,0.09523809524
FISICA III,2021,REPROVADO,0.1363636364,0.1904761905
FISICA III,2022,APROVADO,0.04545454545,0
FISICA III,2022,REPROVADO,0.3181818182,0.5238095238
FISICA III,2023,APROVADO,0.2272727273,0.1904761905
FISICA III,2023,REPROVADO,0.3636363636,0.5238095238
FISICA EXPERIENTAL III,2017,APROVADO,0,0
FISICA EXPERIENTAL III,2017,REPROVADO,0,0
FISICA EXPERIENTAL III,2018,APROVADO,0.1363636364,0.1428571429
FISICA EXPERIENTAL III,2018,REPROVADO,0,0
FISICA EXPERIENTAL III,2019,APROVADO,0.04545454545,0.04761904762
FISICA EXPERIENTAL III,2019,REPROVADO,0,0.04761904762
FISICA EXPERIENTAL III,2020,APROVADO,0.2727272727,0.2857142857
FISICA EXPERIENTAL III,2020,REPROVADO,0,0
FISICA EXPERIENTAL III,2021,APROVADO,0.09090909091,0.1428571429
FISICA EXPERIENTAL III,2021,REPROVADO,0.04545454545,0
FISICA EXPERIENTAL III,2022,APROVADO,0.1818181818,0.1904761905
FISICA EXPERIENTAL III,2022,REPROVADO,,0.09523809524
FISICA EXPERIENTAL III,2023,APROVADO,0.1363636364,0.3333333333
FISICA EXPERIENTAL III,2023,REPROVADO,0.04545454545,0.04761904762
CALCULO DIFERENCIAL E INTEGRAL III,2017,APROVADO,0,0
CALCULO DIFERENCIAL E INTEGRAL III,2017,REPROVADO,0,0
CALCULO DIFERENCIAL E INTEGRAL III,2018,APROVADO,0.09090909091,0.1904761905
CALCULO DIFERENCIAL E INTEGRAL III,2018,REPROVADO,0.2727272727,0.04761904762
CALCULO DIFERENCIAL E INTEGRAL III,2019,APROVADO,0.2272727273,0.2857142857
CALCULO DIFERENCIAL E INTEGRAL III,2019,REPROVADO,0.09090909091,0.04761904762
CALCULO DIFERENCIAL E INTEGRAL III,2020,APROVADO,0.5454545455,0.2380952381
CALCULO DIFERENCIAL E INTEGRAL III,2020,REPROVADO,0,0
CALCULO DIFERENCIAL E INTEGRAL III,2021,APROVADO,0.04545454545,0.04761904762
CALCULO DIFERENCIAL E INTEGRAL III,2021,REPROVADO,0,0.09523809524
CALCULO DIFERENCIAL E INTEGRAL III,2022,APROVADO,0.09090909091,0.09523809524
CALCULO DIFERENCIAL E INTEGRAL III,2022,REPROVADO,0,0.09523809524
CALCULO DIFERENCIAL E INTEGRAL III,2023,APROVADO,0.09090909091,0.1904761905
CALCULO DIFERENCIAL E INTEGRAL III,2023,REPROVADO,0.09090909091,0.1428571429
INTRODUCAO A ESTATISTICA ,2017,APROVADO,0,0
INTRODUCAO A ESTATISTICA ,2017,REPROVADO,0,0
INTRODUCAO A ESTATISTICA ,2018,APROVADO,0.04545454545,0.2380952381
INTRODUCAO A ESTATISTICA ,2018,REPROVADO,0.1363636364,0.04761904762
INTRODUCAO A ESTATISTICA ,2019,APROVADO,0.1363636364,0.1904761905
INTRODUCAO A ESTATISTICA ,2019,REPROVADO,0.1363636364,0.04761904762
INTRODUCAO A ESTATISTICA ,2020,APROVADO,0.3636363636,0.2857142857
INTRODUCAO A ESTATISTICA ,2020,REPROVADO,0,0
INTRODUCAO A ESTATISTICA ,2021,APROVADO,0.3181818182,0.2380952381
INTRODUCAO A ESTATISTICA ,2021,REPROVADO,0,0.04761904762
INTRODUCAO A ESTATISTICA ,2022,APROVADO,0.1363636364,0.1904761905
INTRODUCAO A ESTATISTICA ,2022,REPROVADO,0.04545454545,0.1904761905
INTRODUCAO A ESTATISTICA ,2023,APROVADO,0.2727272727,0.380952381
INTRODUCAO A ESTATISTICA ,2023,REPROVADO,0,0.1428571429
LABORATORIO DE ASTRONOMIA,2017,APROVADO,0,0
LABORATORIO DE ASTRONOMIA,2017,REPROVADO,0,0
LABORATORIO DE ASTRONOMIA,2018,APROVADO,0.2727272727,0.2857142857
LABORATORIO DE ASTRONOMIA,2018,REPROVADO,0,0
LABORATORIO DE ASTRONOMIA,2019,APROVADO,0.3636363636,0.2380952381
LABORATORIO DE ASTRONOMIA,2019,REPROVADO,0.04545454545,0
LABORATORIO DE ASTRONOMIA,2020,APROVADO,0.1818181818,0.2857142857
LABORATORIO DE ASTRONOMIA,2020,REPROVADO,0,0
LABORATORIO DE ASTRONOMIA,2021,APROVADO,0.1363636364,0.2857142857
LABORATORIO DE ASTRONOMIA,2021,REPROVADO,0,0
LABORATORIO DE ASTRONOMIA,2022,APROVADO,0.4090909091,0.380952381
LABORATORIO DE ASTRONOMIA,2022,REPROVADO,0,0
LABORATORIO DE ASTRONOMIA,2023,APROVADO,0.4545454545,0.7142857143
LABORATORIO DE ASTRONOMIA,2023,REPROVADO,0,0.04761904762
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2017,APROVADO,0,0
METODOS COMPUTACIONAIS EM ASTRONOMIA ,2017,REPROVADO,0,0
