,codigo,ano,situacao,qtd_feminino,qtd_masculino
945,CALCULO D,2021,REPROVADO,0.04761904762,0.08333333333
946,CALCULO D,2021,TRANCADO,0,0.08333333333
947,CALCULO D,2022,APROVADO,0.1904761905,0.1666666667
948,CALCULO D,2022,REPROVADO,0.1904761905,0
949,CALCULO D,2022,TRANCADO,0.04761904762,0.08333333333
951,EQUACOES DIFERENCIAIS I,2018,APROVADO,0.1428571429,0.125
952,EQUACOES DIFERENCIAIS I,2018,REP. MEDIA/FALTAS,0,0.08333333333
953,EQUACOES DIFERENCIAIS I,2018,REPROVADO,0,0.25
955,EQUACOES DIFERENCIAIS I,2019,APROVADO,0.3333333333,0.2083333333
956,EQUACOES DIFERENCIAIS I,2019,REPROVADO,0.04761904762,0.125
958,EQUACOES DIFERENCIAIS I,2020,APROVADO,0.1428571429,0.2916666667
959,EQUACOES DIFERENCIAIS I,2020,REPROVADO,0.09523809524,0.1666666667
960,EQUACOES DIFERENCIAIS I,2021,APROVADO,0.2380952381,0.3333333333
961,EQUACOES DIFERENCIAIS I,2021,REPROVADO,0.1428571429,0.1666666667
962,EQUACOES DIFERENCIAIS I,2021,TRANCADO,0,0.125
963,EQUACOES DIFERENCIAIS I,2022,APROVADO,0.5714285714,0.2083333333
964,EQUACOES DIFERENCIAIS I,2022,REPROVADO,0.2857142857,0.2083333333
965,EQUACOES DIFERENCIAIS I,2022,TRANCADO,0.1904761905,0.125
1021,QUIMICA I,2017,APROVADO,0.09523809524,0.2916666667
1022,QUIMICA I,2017,DESISTENCIA,0.04761904762,0.08333333333
1023,QUIMICA I,2017,REP. MEDIA/FALTAS,0.5238095238,0.9166666667
1024,QUIMICA I,2017,REPROVADO,0.09523809524,0.1666666667
1025,QUIMICA I,2017,TRANCADO,0.1428571429,0.3333333333
1026,QUIMICA I,2018,APROVADO,0.7619047619,0.4583333333
1027,QUIMICA I,2018,DESISTENCIA,0,0.1666666667
1028,QUIMICA I,2018,REP. MEDIA/FALTAS,0.4761904762,0.875
1029,QUIMICA I,2018,REPROVADO,0.09523809524,0.2083333333
1030,QUIMICA I,2018,TRANCADO,0.04761904762,0.2083333333
1031,QUIMICA I,2019,APROVADO,0.2380952381,0.3333333333
1033,QUIMICA I,2019,REP. MEDIA/FALTAS,0.1904761905,0.2083333333
1034,QUIMICA I,2019,REPROVADO,0.9047619048,0.8333333333
1035,QUIMICA I,2019,TRANCADO,0.1904761905,0.04166666667
1036,QUIMICA I,2020,APROVADO,0.5714285714,0.7083333333
1038,QUIMICA I,2020,REPROVADO,0.2380952381,0.5833333333
1039,QUIMICA I,2020,TRANCADO,0.09523809524,0.04166666667
1040,QUIMICA I,2021,APROVADO,0.7619047619,0.375
1042,QUIMICA I,2021,REP. MEDIA/FALTAS,0.09523809524,0
1043,QUIMICA I,2021,REPROVADO,0.4285714286,0.5833333333
1044,QUIMICA I,2021,TRANCADO,0.1428571429,0.1666666667
1045,QUIMICA I,2022,APROVADO,0.3333333333,0.2916666667
1047,QUIMICA I,2022,REP. MEDIA/FALTAS,0,0.2083333333
